name,imageUrl,area,profileUrl,office,tags,isLoggedUser,positionName,id,parentId,size
BIES;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BP;TAG;FALSE;PAU(T;(2025-0)-01-01-/F
SBS;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BAP;TAG;FALSE;APAU(T;(2025-0)-01-07-/F
IK;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;SJ;TAG;FALSE;SJ;(2025-0)-01
NWL;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BUdLP;TAG;FALSE;PP(T;(2025-0)-01-05-/F
BA;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BHM;TAG;FALSE;PTK(U;(2025-0)-01-06-FU
KI;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BUdLP;TAG;FALSE;AAM(T;(2025-0)-01-05-/F
AZ;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BHM;TAG;FALSE;PDdI(U;(2025-0)-01-06-FU
T;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BUdLP;TAG;FALSE;PDdI(U;(2025-0)-01-05-01-02-FU
AS;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BP;TAG;FALSE;PLO(U;(2025-0)-01-01-01-FU
P;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BUdLP;TAG;FALSE;KBRT;(2025-0)-01-05-01
AH;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BUdLP;TAG;FALSE;PDdI(U;(2025-0)-01-05-03-05-FU
AKS;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BK;TAG;FALSE;PKAPdBNT(T;(2025-0)-01-03-/F
SR;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BOdSDM;TAG;FALSE;PLO(U;(2025-0)-01-02-01-01-FU
ERN;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BUdLP;TAG;FALSE;PDdI(U;(2025-0)-01-05-03-02-FU
I;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BP;TAG;FALSE;PLO(U;(2025-0)-01-01-FU
S;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BH;TAG;FALSE;PKAPdBNP(T;(2025-0)-01-04-01-01-/F
K;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BOdSDM;TAG;FALSE;PLO(U;(2025-0)-01-02-01-01-FU
BAT;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BP;TAG;FALSE;PAM(T;(2025-0)-01-01-/F
W;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BOdSDM;TAG;FALSE;OLO(U;(2025-0)-01-02-01-01-FU
IH;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BOdSDM;TAG;FALSE;PLO(U;(2025-0)-01-02-FU
AS;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BK;TAG;FALSE;PDdI(U;(2025-0)-01-03-01-02-FU
R;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BAP;TAG;FALSE;PLO(U;(2025-0)-01-07-01-01-FU
SM;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BOdSDM;TAG;FALSE;ASDMAAM(T;(2025-0)-01-02-/F
HM;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BUdLP;TAG;FALSE;PP(U;(2025-0)-01-05-FU
RES;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BHM;TAG;FALSE;PDdI(U;(2025-0)-01-06-01-FU
A;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BHM;TAG;FALSE;KSTU;(2025-0)-01-06-01
TS;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BUdLP;TAG;FALSE;PTK(U;(2025-0)-01-05-03-03-FU
N;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;PDdSI;TAG;FALSE;KPDdSI;(2025-0)-01-08
TTS;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BK;TAG;FALSE;PDdI(U;(2025-0)-01-03-01-03-FU
BC;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BK;TAG;FALSE;APKAPdBNAM(T;(2025-0)-01-03-/F
SG;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;PDdSI;TAG;FALSE;ASDMAAM(T;(2025-0)-01-08-/F
SH;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BK;TAG;FALSE;PKAPdBNT(T;(2025-0)-01-03-/F
US;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BUdLP;TAG;FALSE;PPBAM(T;(2025-0)-01-05-/F
JU;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BP;TAG;FALSE;PDdI(U;(2025-0)-01-01-02-01-FU
H;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BHM;TAG;FALSE;PP(U;(2025-0)-01-06-01-FU
FK;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BK;TAG;FALSE;KSPdPB;(2025-0)-01-03-01-02
TS;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BK;TAG;FALSE;PTK(U;(2025-0)-01-03-01-03-FU
W;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BK;TAG;FALSE;APKAPdBNAM(T;(2025-0)-01-03-/F
HAT;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BUdLP;TAG;FALSE;PLO(U;(2025-0)-01-05-03-04-FU
S;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BUdLP;TAG;FALSE;PDdI(U;(2025-0)-01-05-03-04-FU
SDB;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BAP;TAG;FALSE;PKAPdBNT(T;(2025-0)-01-07-01-01-/F
WA;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BP;TAG;FALSE;PDdI(U;(2025-0)-01-01-02-01-FU
MS;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BOdSDM;TAG;FALSE;ASDMAAM(T;(2025-0)-01-02-/F
N;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BOdSDM;TAG;FALSE;PDdI(U;(2025-0)-01-02-FU
R;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BOdSDM;TAG;FALSE;OLO(U;(2025-0)-01-02-01-01-FU
MEH;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BUdLP;TAG;FALSE;PPBAM(T;(2025-0)-01-05-/F
N;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BUdLP;TAG;FALSE;AAP(T;(2025-0)-01-05-/F
M;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BP;TAG;FALSE;PAM(T;(2025-0)-01-01-/F
S;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BK;TAG;FALSE;PDdI(U;(2025-0)-01-03-01-03-FU
SP;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BH;TAG;FALSE;KSTU;(2025-0)-01-04-01-01
SL;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BUdLP;TAG;FALSE;DGAM(T;(2025-0)-01-05-/F
S;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BHM;TAG;FALSE;PTK(U;(2025-0)-01-06-FU
JS;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BK;TAG;FALSE;APKAPdBNAM(T;(2025-0)-01-03-/F
AR;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BUdLP;TAG;FALSE;PP(U;(2025-0)-01-05-FU
SH;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BUdLP;TAG;FALSE;PPBAM(T;(2025-0)-01-05-/F
OS;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BUdLP;TAG;FALSE;PP(U;(2025-0)-01-05-FU
N;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BAP;TAG;FALSE;PDdI(U;(2025-0)-01-07-01-01-FU
MI;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BP;TAG;FALSE;PAM(T;(2025-0)-01-01-/F
NU;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;PDdSI;TAG;FALSE;KBTU;(2025-0)-01-08-01
YS;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BP;TAG;FALSE;PDdI(U;(2025-0)-01-01-01-FU
S;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BP;TAG;FALSE;KBP;(2025-0)-01-01
S;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BP;TAG;FALSE;KBKSdBLN;(2025-0)-01-01-01
ERS;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BAP;TAG;FALSE;PLO(U;(2025-0)-01-07-01-01-FU
AS;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BP;TAG;FALSE;PLO(U;(2025-0)-01-01-02-01-FU
ATJ;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BOdSDM;TAG;FALSE;OLO(U;(2025-0)-01-02-01-01-FU
H;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BAP;TAG;FALSE;PP(U;(2025-0)-01-07-01-01-FU
M;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BOdSDM;TAG;FALSE;PP(U;(2025-0)-01-02-01-01-FU
TS;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BOdSDM;TAG;FALSE;PLO(U;(2025-0)-01-02-FU
DH;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BUdLP;TAG;FALSE;KSP;(2025-0)-01-05-03-05
SS;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BK;TAG;FALSE;PKAPdBNM(T;(2025-0)-01-03-/F
YON;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BUdLP;TAG;FALSE;DAM(T;(2025-0)-01-05-/F
II;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BAP;TAG;FALSE;APKAPdBNAP(T;(2025-0)-01-07-01-01-/F
IDR;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BHM;TAG;FALSE;PHMAM(T;(2025-0)-01-06-/F
R;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BUdLP;TAG;FALSE;PP(U;(2025-0)-01-05-FU
WS;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BP;TAG;FALSE;ASDMAAP(T;(2025-0)-01-01-/F
FP;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BK;TAG;FALSE;APKAPdBNAM(T;(2025-0)-01-03-/F
RM;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BK;TAG;FALSE;APKAPdBNAM(T;(2025-0)-01-03-/F
AN;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BOdSDM;TAG;FALSE;PLO(U;(2025-0)-01-02-FU
REV;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BOdSDM;TAG;FALSE;AT(T;(2025-0)-01-02-/F
RJP;https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg;Corporate;http://example.com/employee/profile;BUdLP;TAG;FALSE;PDdI(U;(2025-0)-01-05-03-03-FU
